scen	year	zh_name	era	brief_zh
Sidi Barrani	1940-12	西迪巴拉尼	北非	英軍羅盤作戰,韋維爾第 13 軍團從埃及西進反擊格拉齊亞尼義軍。10 週推進 800 公里,俘義軍 13 萬。
El Agheila	1941-02	埃阿蓋拉	北非	英軍推進至的黎波里塔尼亞邊境。次月希臘吸走英軍主力,隆美爾非洲軍團首次登場反攻。
Mersa El Brega	1941-03	墨薩布雷加	北非	隆美爾抵達北非後首戰。以攻代守突襲英軍,兩週內把英軍逼回埃及邊境。
Tripoli	1941-01	的黎波里 (架空)	北非	架空:英軍若一鼓作氣攻下義屬利比亞首府。史實中因希臘戰場撤兵而錯失。
Crusader	1941-11	十字軍作戰	北非	英軍第 8 軍團首次以「軍團」規模反攻,解托布魯克圍。西迪雷澤格血戰後隆美爾撤退。
Gazala	1942-05	加查拉	北非	隆美爾繞過英軍雷區南翼,大鍋 (Cauldron) 戰役重創英軍第 13 軍。托布魯克 6 月失守,隆美爾晉升元帥。
El Alamein	1942-10	阿拉曼	北非	蒙哥馬利集結英第 8 軍團 20 萬人 + 1000 輛戰車擊敗隆美爾。11 月 4 日北非戰局逆轉,邱吉爾稱「至此非終結,乃終結之始」。
Cairo	1942-07	開羅 (架空)	北非	架空:若隆美爾突破阿拉曼直取開羅、蘇伊士運河。史實中補給線斷裂與 8 軍團阻擊而失敗。
Torch	1942-11	火炬作戰	北非	英美聯軍登陸法屬摩洛哥、阿爾及利亞。艾森豪威爾首次擔任盟軍最高統帥,開啟西方合圍隆美爾。
Kasserine	1943-02	卡塞林隘口	北非	美軍首次與德軍地面交鋒即慘敗。隆美爾突破卡塞林隘口,巴頓與布萊德雷改組第 2 軍團後重整。
Mareth Line	1943-03	馬雷特線	北非	蒙哥馬利突破意軍馬雷特防線,與美軍會師,壓縮軸心於突尼西亞。
Tunis	1943-05	突尼斯	北非	北非戰役收尾,盟軍佔突尼斯與比塞大。25 萬德意軍投降,規模比史達林格勒還大。
Sicily	1943-07	西西里	南歐	胡斯基作戰,巴頓第 7 軍與蒙哥馬利第 8 軍雙路登陸。38 天佔全島,墨索里尼 7 月 25 日被推翻。
Jupiter	1943-08	木星作戰 (架空)	南歐	架空替代方案:盟軍若跳過義大利登陸挪威。史實中選擇了義大利。
Anzio	1944-01	安濟奧	南歐	盟軍搶灘義大利中部繞開古斯塔夫防線,兵力不足未能突擊羅馬,四個月僵持。
Overlord	1944-06	大君主 (諾曼第)	西歐	盟軍 15 萬人登陸諾曼第五灘。有史以來最大海空聯合登陸,西線第二戰場開啟。
Cobra	1944-07	眼鏡蛇作戰	西歐	諾曼第突圍。巴頓第 3 軍團從聖洛突破德軍防線,兩週內橫掃法國北部至塞納河。
